Seq	JH1T	JH1O	JH1S	JH3T	JH3O	JH3S	JH4T	JH4O	JH4S	JH5T	JH5O	JH5S	JH6T	JH6O	JH6S	JH7T	JH7O	JH7S
Seq27713	0	0	0	0	0	0	0	0	0	0	2	0	11	48	13	1	3	10
Seq27714	0	0	0	0	0	0	0	6	0	1	4	1	31	32	72	9	42	5
Seq27715	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0
Seq27716	0	0	0	0	0	0	0	0	0	0	0	2	0	1	3	0	1	0
Seq27717	0	0	0	2	0	0	7	334	1	5	2	9	24	9	83	34	32	553
Seq27718	0	0	0	0	0	0	0	0	0	25	0	0	1	5	10	1	2	6
Seq27719	0	0	0	0	0	0	0	4	0	6	14	34	23	81	23	6	44	67
Seq27720	1	0	0	1	1	1	2	13	1	23	30	61	882	269	153	45	210	324
Seq27721	0	3	0	0	5	1	0	2	0	18	7	7	37	42	62	3	45	40
Seq27722	0	0	9	88	73	6	0	4	838	3339	1878	11	6	68	35546	2124	11790	213
Seq27723	4	0	20	97	58	11	0	18	1909	3177	976	3	1	34	87150	2059	10620	463
Seq27724	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0
Seq27725	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	1	0
Seq27726	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Seq27727	0	0	0	2	1	0	0	0	0	0	8	3	0	4	57	19	47	7
Seq27728	0	0	0	0	0	0	0	0	0	2	0	1	0	0	47	5	13	0
Seq27729	0	0	0	0	0	0	0	0	0	11	4	0	0	4	15	2	9	0
Seq27730	0	0	0	0	0	0	0	3	2	4	1	0	0	34	63	11	35	1
Seq27731	0	0	0	0	1	0	0	1	0	4	0	0	1	5	34	2	16	0
Seq27732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq27733	0	0	1	2	0	0	0	0	2	4	1	1	1	2	104	10	29	8
Seq27734	1	2	0	1	0	2	0	10	1	20	61	107	86	98	553	74	613	334
Seq27735	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
Seq27736	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	1	0
Seq27737	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Seq27738	0	0	0	0	0	0	0	0	0	0	0	0	1	4	2	0	3	0
Seq27739	0	0	0	0	0	1	0	0	0	2	2	9	6	8	37	5	36	7
Seq27740	0	0	0	0	0	0	0	0	0	0	1	0	0	1	7	1	4	0
Seq27741	0	0	0	0	1	0	0	0	0	1	3	1	27	1	49	1	56	6
Seq27742	0	0	0	0	0	0	0	1	0	0	1	0	5	3	38	1	41	2
Seq27743	0	0	0	0	0	0	0	0	0	6	0	32	34	15	47	18	75	139
Seq27744	0	0	0	3	0	0	0	0	3	75	58	0	0	3	167	118	390	0
Seq27745	0	0	0	0	1	0	0	0	0	0	12	0	2	2	0	1	0	0
Seq27746	0	0	0	0	0	0	0	2	0	1	7	2	5	11	41	4	17	1
Seq27747	0	0	0	0	0	0	0	0	0	2	1	0	0	1	2	1	2	0
Seq27748	0	0	0	0	0	0	0	1	2	7	1	1	0	21	42	1	4	7
Seq27749	0	0	0	2	0	0	0	0	0	14	42	12	6	38	13	33	403	19
Seq27750	0	0	0	0	0	0	0	0	0	1	1	0	2	3	1	0	3	0
Seq27751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
Seq27752	0	0	0	0	1	0	0	0	1	0	0	2	1	3	0	1	2	1
Seq27753	0	0	0	0	0	0	0	0	0	0	0	0	4	1	1	0	0	0
Seq27754	0	2	2	6	4	1	0	5	24	18	49	7	119	45	190	47	345	14
Seq27755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0
Seq27756	0	0	0	0	0	0	0	0	0	0	1	0	1	3	0	0	1	0
